101-SART-June2018-AS,target incorrect,Channel-6 HbO,1559016,1600533,0,274
101-SART-June2018-AS,target incorrect,Channel-6 HbO,1663520,1705038,0,274
101-SART-June2018-AS,target incorrect,Channel-6 HbO,1727483,1768986,0,274
101-SART-June2018-AS,target incorrect,Channel-6 HbO,1734057,1775557,0,274
101-SART-June2018-AS,target incorrect,Channel-6 HbO,1853442,1894979,0,274
101-SART-June2018-AS,target incorrect,Channel-6 HbO,1878085,1919602,0,274
101-SART-June2018-AS,target incorrect,Channel-6 HbO,2015207,2056723,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,126468,167986,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,274131,315653,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,403678,445179,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,600024,641559,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,624914,666433,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,631505,673041,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,667507,709026,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,777318,818835,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,789029,830533,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,794000,835502,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,836659,878161,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,854762,896297,0,274
101-SART-June2018-AS,target correct,Channel-7 HbO,874549,916082,0,274
